Table S2. Movement Data for GPS-Instrumented Stones on Racetrack Playa,,,,,,,,,,,,,,,,
Death Valley National Park,,,,,,,,,,,,,,,,
Stone Name: EOS; Location Designation: A3;  Mass: 16.6 Kg,,,,,,Stone Name: MAIA; Location Designation: A6;  Mass: 8.2 Kg,,,,,,Stone Name: FREYA; Location Designation: A11;  Mass: 15.4 Kg,,,,
"""Date""","""Time(UTC)""","""Lat(deg)""","""Long(deg)""","""Velocity(m/min)""",,"""Date"""," ""Time (UTC)"""," ""Lat (deg)"""," ""Long (deg)""",Velocity (m/min),,Date," ""Time (UTC)"""," ""Lat (deg)"""," ""Long (deg)""",Velocity (m/min)
12/4/13,19:07:18,36.6734695,-117.5529647,4.999194,,12/4/13,19:07:12,36.6741937,-117.5545022,5.032061,,12/20/2013,19:39:23,36.6758518,-117.5554333,2.403786
12/4/13,19:07:19,36.6734703,-117.5529643,5.014661,,12/4/13,19:07:13,36.6741945,-117.5545018,5.053052,,12/20/2013,19:39:24,36.6758522,-117.5554331,2.389044
12/4/13,19:07:20,36.673471,-117.552964,5.040062,,12/4/13,19:07:14,36.6741952,-117.5545013,5.095044,,12/20/2013,19:39:25,36.6758524,-117.555433,2.368072
12/4/13,19:07:21,36.6734718,-117.5529635,5.050111,,12/4/13,19:07:15,36.6741959,-117.5545008,5.109734,,12/20/2013,19:39:26,36.6758527,-117.5554328,2.361877
12/4/13,19:07:22,36.6734725,-117.552963,5.075673,,12/4/13,19:07:16,36.6741966,-117.5545004,5.145423,,12/20/2013,19:39:27,36.675853,-117.5554326,2.347108
12/4/13,19:07:23,36.6734733,-117.5529626,5.065413,,12/4/13,19:07:17,36.6741974,-117.5544999,5.16013,,12/20/2013,19:39:28,36.6758533,-117.5554324,2.340934
12/4/13,19:07:24,36.6734739,-117.5529622,5.09111,,12/4/13,19:07:18,36.6741981,-117.5544994,5.181116,,12/20/2013,19:39:29,36.6758536,-117.5554322,2.313907
12/4/13,19:07:25,36.6734747,-117.5529617,5.101552,,12/4/13,19:07:19,36.6741988,-117.5544989,5.216811,,12/20/2013,19:39:30,36.6758539,-117.5554321,2.313907
12/4/13,19:07:26,36.6734754,-117.5529612,5.116872,,12/4/13,19:07:20,36.6741996,-117.5544984,5.237797,,12/20/2013,19:39:31,36.6758542,-117.5554319,2.307878
12/4/13,19:07:27,36.6734762,-117.5529608,5.137435,,12/4/13,19:07:21,36.6742003,-117.5544979,5.250413,,12/20/2013,19:39:32,36.6758545,-117.5554317,2.196555
